Cod. Departamento,Nombre Departamento,Cod. Municipio,Nombre Municipio,Tipo,LATITUD,LONGITUD
5,ANTIOQUIA,5001,MEDELLÍN,Municipio,6.257590259,-75.611031065
5,ANTIOQUIA,5002,ABEJORRAL,Municipio,5.803728154,-75.438473525
5,ANTIOQUIA,5004,ABRIAQUÍ,Municipio,6.627569378,-76.085977561
5,ANTIOQUIA,5021,ALEJANDRÍA,Municipio,6.365534125,-75.090597022
5,ANTIOQUIA,5030,AMAGÁ,Municipio,6.032921994,-75.708003098
5,ANTIOQUIA,5031,AMALFI,Municipio,6.977788843,-74.981239298
5,ANTIOQUIA,5034,ANDES,Municipio,5.604993248,-75.941283908
5,ANTIOQUIA,5036,ANGELÓPOLIS,Municipio,6.121430303,-75.715949663
5,ANTIOQUIA,5038,ANGOSTURA,Municipio,6.861498764,-75.358315997
5,ANTIOQUIA,5040,ANORÍ,Municipio,7.193110778,-75.108489539
5,ANTIOQUIA,5042,SANTA FÉ DE ANTIOQUIA,Municipio,6.535711576,-75.904266579
5,ANTIOQUIA,5044,ANZÁ,Municipio,6.293546613,-75.917369269
5,ANTIOQUIA,5045,APARTADÓ,Municipio,7.86047815,-76.582362643
5,ANTIOQUIA,5051,ARBOLETES,Municipio,8.611395262,-76.414783173
5,ANTIOQUIA,5055,ARGELIA,Municipio,5.708114524,-75.094697954
5,ANTIOQUIA,5059,ARMENIA,Municipio,6.163683758,-75.809955281
5,ANTIOQUIA,5079,BARBOSA,Municipio,6.443417935,-75.329240854
5,ANTIOQUIA,5086,BELMIRA,Municipio,6.665853953,-75.68621659
5,ANTIOQUIA,5088,BELLO,Municipio,6.358841086,-75.589735878
5,ANTIOQUIA,5091,BETANIA,Municipio,5.727081285,-75.986891074
5,ANTIOQUIA,5093,BETULIA,Municipio,6.185783612,-75.956492463
5,ANTIOQUIA,5101,CIUDAD BOLÍVAR,Municipio,5.840995666,-76.010652526
5,ANTIOQUIA,5107,BRICEÑO,Municipio,7.111788462,-75.562234738
5,ANTIOQUIA,5113,BURITICÁ,Municipio,6.80906489,-75.912065947
5,ANTIOQUIA,5120,CÁCERES,Municipio,7.665155105,-75.223697441
5,ANTIOQUIA,5125,CAICEDO,Municipio,6.423463639,-75.99351498
5,ANTIOQUIA,5129,CALDAS,Municipio,6.054446841,-75.626426743
5,ANTIOQUIA,5134,CAMPAMENTO,Municipio,7.036017478,-75.287661778
5,ANTIOQUIA,5138,CAÑASGORDAS,Municipio,6.814950023,-76.02689632
5,ANTIOQUIA,5142,CARACOLÍ,Municipio,6.33797388,-74.733548173
5,ANTIOQUIA,5145,CARAMANTA,Municipio,5.555275296,-75.630820964
5,ANTIOQUIA,5147,CAREPA,Municipio,7.757967437,-76.643746573
5,ANTIOQUIA,5148,EL CARMEN DE VIBORAL,Municipio,5.978078841,-75.263536102
5,ANTIOQUIA,5150,CAROLINA,Municipio,6.754821442,-75.305906539
5,ANTIOQUIA,5154,CAUCASIA,Municipio,7.867941792,-75.035018239
5,ANTIOQUIA,5172,CHIGORODÓ,Municipio,7.631665644,-76.639642127
5,ANTIOQUIA,5190,CISNEROS,Municipio,6.550065431,-75.08254116
5,ANTIOQUIA,5197,COCORNÁ,Municipio,6.005593074,-75.160154033
5,ANTIOQUIA,5206,CONCEPCIÓN,Municipio,6.376106187,-75.217859014
5,ANTIOQUIA,5209,CONCORDIA,Municipio,6.057468678,-75.900146783
5,ANTIOQUIA,5212,COPACABANA,Municipio,6.351882893,-75.50075633
5,ANTIOQUIA,5234,DABEIBA,Municipio,6.992243782,-76.314263284
5,ANTIOQUIA,5237,DONMATÍAS,Municipio,6.492403905,-75.422276872
5,ANTIOQUIA,5240,EBÉJICO,Municipio,6.326444922,-75.783311748
5,ANTIOQUIA,5250,EL BAGRE,Municipio,7.704633351,-74.664277263
5,ANTIOQUIA,5264,ENTRERRÍOS,Municipio,6.594656004,-75.559130833
5,ANTIOQUIA,5266,ENVIGADO,Municipio,6.154394922,-75.546867788
5,ANTIOQUIA,5282,FREDONIA,Municipio,5.887702934,-75.679262419
5,ANTIOQUIA,5284,FRONTINO,Municipio,6.691364773,-76.33199656
5,ANTIOQUIA,5306,GIRALDO,Municipio,6.663095863,-75.948046628
5,ANTIOQUIA,5308,GIRARDOTA,Municipio,6.379745895,-75.447957442
5,ANTIOQUIA,5310,GÓMEZ PLATA,Municipio,6.709562839,-75.192702912
5,ANTIOQUIA,5313,GRANADA,Municipio,6.123380721,-75.127636463
5,ANTIOQUIA,5315,GUADALUPE,Municipio,6.861576325,-75.225913027
5,ANTIOQUIA,5318,GUARNE,Municipio,6.266625703,-75.437308008
5,ANTIOQUIA,5321,GUATAPÉ,Municipio,6.236329826,-75.156512723
5,ANTIOQUIA,5347,HELICONIA,Municipio,6.214511788,-75.749710019
5,ANTIOQUIA,5353,HISPANIA,Municipio,5.797039002,-75.906692028
5,ANTIOQUIA,5360,ITAGÜÍ,Municipio,6.179279438,-75.614203699
5,ANTIOQUIA,5361,ITUANGO,Municipio,7.341549718,-75.678422773
5,ANTIOQUIA,5364,JARDÍN,Municipio,5.574444339,-75.818425748
5,ANTIOQUIA,5368,JERICÓ,Municipio,5.769820536,-75.764882556
5,ANTIOQUIA,5376,LA CEJA,Municipio,5.992524843,-75.430869347
5,ANTIOQUIA,5380,LA ESTRELLA,Municipio,6.137595883,-75.648954991
5,ANTIOQUIA,5390,LA PINTADA,Municipio,5.746583958,-75.60220206
5,ANTIOQUIA,5400,LA UNIÓN,Municipio,5.940434685,-75.354290227
5,ANTIOQUIA,5411,LIBORINA,Municipio,6.723990935,-75.783000458
5,ANTIOQUIA,5425,MACEO,Municipio,6.534573585,-74.714108541
5,ANTIOQUIA,5440,MARINILLA,Municipio,6.18520515,-75.304879329
5,ANTIOQUIA,5467,MONTEBELLO,Municipio,5.916853903,-75.519726926
5,ANTIOQUIA,5475,MURINDÓ,Municipio,6.828773855,-76.708613491
5,ANTIOQUIA,5480,MUTATÁ,Municipio,7.329557848,-76.463065695
5,ANTIOQUIA,5483,NARIÑO,Municipio,5.581275312,-75.194570185
5,ANTIOQUIA,5490,NECOCLÍ,Municipio,8.493728551,-76.676995884
5,ANTIOQUIA,5495,NECHÍ,Municipio,7.983477394,-74.65844186
5,ANTIOQUIA,5501,OLAYA,Municipio,6.611418083,-75.775670969
5,ANTIOQUIA,5541,PEÑOL,Municipio,6.232396368,-75.223509055
5,ANTIOQUIA,5543,PEQUE,Municipio,7.044180058,-75.889688434
5,ANTIOQUIA,5576,PUEBLORRICO,Municipio,5.80970186,-75.860766666
5,ANTIOQUIA,5579,PUERTO BERRÍO,Municipio,6.481922267,-74.528742101
5,ANTIOQUIA,5585,PUERTO NARE,Municipio,6.126539139,-74.703177217
5,ANTIOQUIA,5591,PUERTO TRIUNFO,Municipio,5.954830151,-74.686191798
5,ANTIOQUIA,5604,REMEDIOS,Municipio,6.997267375,-74.558656518
5,ANTIOQUIA,5607,RETIRO,Municipio,6.053444254,-75.515738045
5,ANTIOQUIA,5615,RIONEGRO,Municipio,6.150785807,-75.410760524
5,ANTIOQUIA,5628,SABANALARGA,Municipio,6.901000506,-75.792227535
5,ANTIOQUIA,5631,SABANETA,Municipio,6.138305183,-75.608805993
5,ANTIOQUIA,5642,SALGAR,Municipio,5.970502334,-75.981372511
5,ANTIOQUIA,5647,SAN ANDRÉS DE CUERQUÍA,Municipio,6.918427233,-75.6657758
5,ANTIOQUIA,5649,SAN CARLOS,Municipio,6.193789659,-74.90732769
5,ANTIOQUIA,5652,SAN FRANCISCO,Municipio,5.840093731,-74.98176334
5,ANTIOQUIA,5656,SAN JERÓNIMO,Municipio,6.438300409,-75.703107272
5,ANTIOQUIA,5658,SAN JOSÉ DE LA MONTAÑA,Municipio,6.823258913,-75.677708262
5,ANTIOQUIA,5659,SAN JUAN DE URABÁ,Municipio,8.707141583,-76.532482343
5,ANTIOQUIA,5660,SAN LUIS,Municipio,6.024205956,-75.007667403
5,ANTIOQUIA,5664,SAN PEDRO DE LOS MILAGROS,Municipio,6.458666308,-75.562483898
5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,Municipio,8.37915695,-76.316642334
5,ANTIOQUIA,5667,SAN RAFAEL,Municipio,6.31074453,-74.998586516
5,ANTIOQUIA,5670,SAN ROQUE,Municipio,6.466165211,-74.945073196
5,ANTIOQUIA,5674,SAN VICENTE FERRER,Municipio,6.310387522,-75.327401628
5,ANTIOQUIA,5679,SANTA BÁRBARA,Municipio,5.878984956,-75.583303711
5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,Municipio,6.675827825,-75.438143332
5,ANTIOQUIA,5690,SANTO DOMINGO,Municipio,6.481044132,-75.142600968
5,ANTIOQUIA,5697,EL SANTUARIO,Municipio,6.124209495,-75.252122776
5,ANTIOQUIA,5736,SEGOVIA,Municipio,7.26692339,-74.621639263
5,ANTIOQUIA,5756,SONSÓN,Municipio,5.826388779,-74.836376225
5,ANTIOQUIA,5761,SOPETRÁN,Municipio,6.520164552,-75.745809033
5,ANTIOQUIA,5789,TÁMESIS,Municipio,5.673758571,-75.709799743
5,ANTIOQUIA,5790,TARAZÁ,Municipio,7.488875998,-75.401894377
5,ANTIOQUIA,5792,TARSO,Municipio,5.871064557,-75.828711443
5,ANTIOQUIA,5809,TITIRIBÍ,Municipio,6.058349971,-75.799660047
5,ANTIOQUIA,5819,TOLEDO,Municipio,7.016397069,-75.71363382
5,ANTIOQUIA,5837,TURBO,Municipio,8.173851745,-76.574037701
5,ANTIOQUIA,5842,URAMITA,Municipio,6.913916924,-76.133185136
5,ANTIOQUIA,5847,URRAO,Municipio,6.33534134,-76.259064819
5,ANTIOQUIA,5854,VALDIVIA,Municipio,7.265404213,-75.400945015
5,ANTIOQUIA,5856,VALPARAÍSO,Municipio,5.651937802,-75.630834123
5,ANTIOQUIA,5858,VEGACHÍ,Municipio,6.836535122,-74.754030203
5,ANTIOQUIA,5861,VENECIA,Municipio,5.956576355,-75.777224226
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,Municipio,6.453351334,-76.695048017
5,ANTIOQUIA,5885,YALÍ,Municipio,6.716870679,-74.75565002
5,ANTIOQUIA,5887,YARUMAL,Municipio,6.9881309,-75.454399574
5,ANTIOQUIA,5890,YOLOMBÓ,Municipio,6.64442786,-75.029902658
5,ANTIOQUIA,5893,YONDÓ,Municipio,6.925159318,-74.158240414
5,ANTIOQUIA,5895,ZARAGOZA,Municipio,7.474004006,-74.858483258
8,ATLÁNTICO,8001,BARRANQUILLA,Municipio,10.98152051,-74.827715439
8,ATLÁNTICO,8078,BARANOA,Municipio,10.793293019,-74.922194906
8,ATLÁNTICO,8137,CAMPO DE LA CRUZ,Municipio,10.38405079,-74.884660393
8,ATLÁNTICO,8141,CANDELARIA,Municipio,10.489020471,-74.877566268
8,ATLÁNTICO,8296,GALAPA,Municipio,10.897719907,-74.887087876
8,ATLÁNTICO,8372,JUAN DE ACOSTA,Municipio,10.823065032,-75.078419039
8,ATLÁNTICO,8421,LURUACO,Municipio,10.635031161,-75.15402741
8,ATLÁNTICO,8433,MALAMBO,Municipio,10.848288642,-74.806175549
8,ATLÁNTICO,8436,MANATÍ,Municipio,10.454145546,-74.984773669
8,ATLÁNTICO,8520,PALMAR DE VARELA,Municipio,10.694812078,-74.770150903
8,ATLÁNTICO,8549,PIOJÓ,Municipio,10.740789594,-75.143660335
8,ATLÁNTICO,8558,POLONUEVO,Municipio,10.767401414,-74.854148436
8,ATLÁNTICO,8560,PONEDERA,Municipio,10.594651021,-74.798473158
8,ATLÁNTICO,8573,PUERTO COLOMBIA,Municipio,11.004422597,-74.907405804
8,ATLÁNTICO,8606,REPELÓN,Municipio,10.507570513,-75.121880527
8,ATLÁNTICO,8634,SABANAGRANDE,Municipio,10.798940151,-74.768796603
8,ATLÁNTICO,8638,SABANALARGA,Municipio,10.622507773,-74.955105416
8,ATLÁNTICO,8675,SANTA LUCÍA,Municipio,10.35364192,-74.965411787
8,ATLÁNTICO,8685,SANTO TOMÁS,Municipio,10.755626561,-74.78726468
8,ATLÁNTICO,8758,SOLEDAD,Municipio,10.906906595,-74.778424903
8,ATLÁNTICO,8770,SUAN,Municipio,10.310850347,-74.907133084
8,ATLÁNTICO,8832,TUBARÁ,Municipio,10.907219384,-74.98423293
8,ATLÁNTICO,8849,USIACURÍ,Municipio,10.740522657,-74.982674126
11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,4.316107698,-74.181072702
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Municipio,10.463433617,-75.45889915
13,BOLÍVAR,13006,ACHÍ,Municipio,8.622943262,-74.478059448
13,BOLÍVAR,13030,ALTOS DEL ROSARIO,Municipio,8.757468863,-74.195158106
13,BOLÍVAR,13042,ARENAL,Municipio,8.362996158,-74.103019049
13,BOLÍVAR,13052,ARJONA,Municipio,10.164221225,-75.371217884
13,BOLÍVAR,13062,ARROYOHONDO,Municipio,10.241718047,-75.026904215
13,BOLÍVAR,13074,BARRANCO DE LOBA,Municipio,8.837077654,-74.279665305
13,BOLÍVAR,13140,CALAMAR,Municipio,10.155170977,-74.999959492
13,BOLÍVAR,13160,CANTAGALLO,Municipio,7.239229146,-74.100140429
13,BOLÍVAR,13188,CICUCO,Municipio,9.235268598,-74.688409615
13,BOLÍVAR,13212,CÓRDOBA,Municipio,9.540047515,-74.894456346
13,BOLÍVAR,13222,CLEMENCIA,Municipio,10.556636955,-75.314466528
13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,Municipio,9.699819876,-75.157935726
13,BOLÍVAR,13248,EL GUAMO,Municipio,10.034836723,-74.928110717
13,BOLÍVAR,13268,EL PEÑÓN,Municipio,8.864818786,-73.912301472
13,BOLÍVAR,13300,HATILLO DE LOBA,Municipio,8.981717133,-74.090719016
13,BOLÍVAR,13430,MAGANGUÉ,Municipio,9.053135895,-74.705393181
13,BOLÍVAR,13433,MAHATES,Municipio,10.178213908,-75.17978161
13,BOLÍVAR,13440,MARGARITA,Municipio,9.054601889,-74.225847059
13,BOLÍVAR,13442,MARÍA LA BAJA,Municipio,9.976017168,-75.343802649
13,BOLÍVAR,13458,MONTECRISTO,Municipio,8.01710024,-74.463429112
13,BOLÍVAR,13468,SANTA CRUZ DE MOMPOX,Municipio,9.142512064,-74.545199057
13,BOLÍVAR,13473,MORALES,Municipio,8.253700061,-73.971345899
13,BOLÍVAR,13490,NOROSÍ,Municipio,8.50613476,-74.115889115
13,BOLÍVAR,13549,PINILLOS,Municipio,8.886315511,-74.408884758
13,BOLÍVAR,13580,REGIDOR,Municipio,8.672628558,-73.914506788
13,BOLÍVAR,13600,RÍO VIEJO,Municipio,8.559982465,-73.902986677
13,BOLÍVAR,13620,SAN CRISTÓBAL,Municipio,10.369720871,-75.073338352
13,BOLÍVAR,13647,SAN ESTANISLAO,Municipio,10.364681919,-75.205234868
13,BOLÍVAR,13650,SAN FERNANDO,Municipio,9.081483143,-74.371866466
13,BOLÍVAR,13654,SAN JACINTO,Municipio,9.835362011,-75.106092009
13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,Municipio,8.212463202,-74.75082
13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,Municipio,9.967957823,-75.065719587
13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,Municipio,8.816088444,-74.005999668
13,BOLÍVAR,13670,SAN PABLO,Municipio,7.507922612,-74.103569774
13,BOLÍVAR,13673,SANTA CATALINA,Municipio,10.649812776,-75.26548463
13,BOLÍVAR,13683,SANTA ROSA,Municipio,10.469207257,-75.361160527
13,BOLÍVAR,13688,SANTA ROSA DEL SUR,Municipio,7.772519173,-74.262728426
13,BOLÍVAR,13744,SIMITÍ,Municipio,7.851315534,-73.983716091
13,BOLÍVAR,13760,SOPLAVIENTO,Municipio,10.332090314,-75.116992257
13,BOLÍVAR,13780,TALAIGUA NUEVO,Municipio,9.269516705,-74.586952326
13,BOLÍVAR,13810,TIQUISIO,Municipio,8.492345176,-74.296761387
13,BOLÍVAR,13836,TURBACO,Municipio,10.353107564,-75.379715411
13,BOLÍVAR,13838,TURBANA,Municipio,10.252769289,-75.432702985
13,BOLÍVAR,13873,VILLANUEVA,Municipio,10.444913198,-75.267362754
13,BOLÍVAR,13894,ZAMBRANO,Municipio,9.745147021,-74.880670367
15,BOYACÁ,15001,TUNJA,Municipio,5.518472615,-73.378018556
15,BOYACÁ,15022,ALMEIDA,Municipio,4.954825081,-73.388134245
15,BOYACÁ,15047,AQUITANIA,Municipio,5.437416373,-72.871494711
15,BOYACÁ,15051,ARCABUCO,Municipio,5.73526424,-73.427931091
15,BOYACÁ,15087,BELÉN,Municipio,6.005059265,-72.893698873
15,BOYACÁ,15090,BERBEO,Municipio,5.230936356,-73.127319437
15,BOYACÁ,15092,BETÉITIVA,Municipio,5.920858933,-72.848578763
15,BOYACÁ,15097,BOAVITA,Municipio,6.337515626,-72.62021239
15,BOYACÁ,15104,BOYACÁ,Municipio,5.439856216,-73.381369938
15,BOYACÁ,15106,BRICEÑO,Municipio,5.673229265,-73.926607047
15,BOYACÁ,15109,BUENAVISTA,Municipio,5.489399419,-73.950662546
15,BOYACÁ,15114,BUSBANZÁ,Municipio,5.843483731,-72.87574623
15,BOYACÁ,15131,CALDAS,Municipio,5.575990669,-73.880575077
15,BOYACÁ,15135,CAMPOHERMOSO,Municipio,5.006862536,-73.144670302
15,BOYACÁ,15162,CERINZA,Municipio,5.962013698,-72.964472884
15,BOYACÁ,15172,CHINAVITA,Municipio,5.202971639,-73.340480736
15,BOYACÁ,15176,CHIQUINQUIRÁ,Municipio,5.622488024,-73.804245312
15,BOYACÁ,15180,CHISCAS,Municipio,6.68911806,-72.417956748
15,BOYACÁ,15183,CHITA,Municipio,6.091468485,-72.439031738
15,BOYACÁ,15185,CHITARAQUE,Municipio,5.984394625,-73.425823751
15,BOYACÁ,15187,CHIVATÁ,Municipio,5.556830465,-73.260617153
15,BOYACÁ,15189,CIÉNEGA,Municipio,5.393059633,-73.282057716
15,BOYACÁ,15204,CÓMBITA,Municipio,5.667822366,-73.321370491
15,BOYACÁ,15212,COPER,Municipio,5.452461072,-74.059965781
15,BOYACÁ,15215,CORRALES,Municipio,5.82454582,-72.845448448
15,BOYACÁ,15218,COVARACHÍA,Municipio,6.519521476,-72.740204209
15,BOYACÁ,15223,CUBARÁ,Municipio,6.886954878,-72.181562849
15,BOYACÁ,15224,CUCAITA,Municipio,5.527104109,-73.445986459
15,BOYACÁ,15226,CUÍTIVA,Municipio,5.58775449,-72.939536863
15,BOYACÁ,15232,CHÍQUIZA,Municipio,5.643075648,-73.445623907
15,BOYACÁ,15236,CHIVOR,Municipio,4.871181606,-73.361423792
15,BOYACÁ,15238,DUITAMA,Municipio,5.890602515,-73.067094843
15,BOYACÁ,15244,EL COCUY,Municipio,6.353363177,-72.419237519
15,BOYACÁ,15248,EL ESPINO,Municipio,6.508240556,-72.480496247
15,BOYACÁ,15272,FIRAVITOBA,Municipio,5.67367659,-73.019833516
15,BOYACÁ,15276,FLORESTA,Municipio,5.85899211,-72.924998265
15,BOYACÁ,15293,GACHANTIVÁ,Municipio,5.744105975,-73.542655196
15,BOYACÁ,15296,GÁMEZA,Municipio,5.799050256,-72.729647651
15,BOYACÁ,15299,GARAGOA,Municipio,5.089466651,-73.314302722
15,BOYACÁ,15317,GUACAMAYAS,Municipio,6.445438546,-72.516353323
15,BOYACÁ,15322,GUATEQUE,Municipio,5.01450831,-73.488123516
15,BOYACÁ,15325,GUAYATÁ,Municipio,4.931424341,-73.496633724
15,BOYACÁ,15332,GÜICÁN DE LA SIERRA,Municipio,6.566991765,-72.255993335
15,BOYACÁ,15362,IZA,Municipio,5.617366016,-72.969865044
15,BOYACÁ,15367,JENESANO,Municipio,5.38916272,-73.400870207
15,BOYACÁ,15368,JERICÓ,Municipio,6.155633662,-72.585230926
15,BOYACÁ,15377,LABRANZAGRANDE,Municipio,5.541378132,-72.590384601
15,BOYACÁ,15380,LA CAPILLA,Municipio,5.113167102,-73.459237077
15,BOYACÁ,15401,LA VICTORIA,Municipio,5.507008121,-74.241627269
15,BOYACÁ,15403,LA UVITA,Municipio,6.265126191,-72.555510848
15,BOYACÁ,15407,VILLA DE LEYVA,Municipio,5.665762424,-73.514948003
15,BOYACÁ,15425,MACANAL,Municipio,4.980176495,-73.294136946
15,BOYACÁ,15442,MARIPÍ,Municipio,5.569810633,-74.020031272
15,BOYACÁ,15455,MIRAFLORES,Municipio,5.150953297,-73.178967217
15,BOYACÁ,15464,MONGUA,Municipio,5.710937981,-72.634028752
15,BOYACÁ,15466,MONGUÍ,Municipio,5.697352228,-72.832986642
15,BOYACÁ,15469,MONIQUIRÁ,Municipio,5.863370485,-73.558525378
15,BOYACÁ,15476,MOTAVITA,Municipio,5.606192449,-73.377342665
15,BOYACÁ,15480,MUZO,Municipio,5.539429272,-74.111771391
15,BOYACÁ,15491,NOBSA,Municipio,5.778759851,-72.932683237
15,BOYACÁ,15494,NUEVO COLÓN,Municipio,5.354701485,-73.448734241
15,BOYACÁ,15500,OICATÁ,Municipio,5.610787844,-73.279919053
15,BOYACÁ,15507,OTANCHE,Municipio,5.753787787,-74.197194226
15,BOYACÁ,15511,PACHAVITA,Municipio,5.148323877,-73.399512192
15,BOYACÁ,15514,PÁEZ,Municipio,5.095211035,-73.004358626
15,BOYACÁ,15516,PAIPA,Municipio,5.762027786,-73.137774423
15,BOYACÁ,15518,PAJARITO,Municipio,5.382328949,-72.696726742
15,BOYACÁ,15522,PANQUEBA,Municipio,6.443299758,-72.461824312
15,BOYACÁ,15531,PAUNA,Municipio,5.688801559,-74.005041215
15,BOYACÁ,15533,PAYA,Municipio,5.621242742,-72.369290598
15,BOYACÁ,15537,PAZ DE RÍO,Municipio,6.030008561,-72.759880177
15,BOYACÁ,15542,PESCA,Municipio,5.498483324,-73.07837993
15,BOYACÁ,15550,PISBA,Municipio,5.768131812,-72.439932321
15,BOYACÁ,15572,PUERTO BOYACÁ,Municipio,5.953466654,-74.452858102
15,BOYACÁ,15580,QUÍPAMA,Municipio,5.595729831,-74.268570671
15,BOYACÁ,15599,RAMIRIQUÍ,Municipio,5.319934092,-73.310778996
15,BOYACÁ,15600,RÁQUIRA,Municipio,5.496268621,-73.628944376
15,BOYACÁ,15621,RONDÓN,Municipio,5.379947879,-73.196509947
15,BOYACÁ,15632,SABOYÁ,Municipio,5.699926051,-73.747994656
15,BOYACÁ,15638,SÁCHICA,Municipio,5.573464882,-73.543102003
15,BOYACÁ,15646,SAMACÁ,Municipio,5.47053997,-73.521175604
15,BOYACÁ,15660,SAN EDUARDO,Municipio,5.234614686,-73.049140669
15,BOYACÁ,15664,SAN JOSÉ DE PARE,Municipio,5.994154088,-73.543865224
15,BOYACÁ,15667,SAN LUIS DE GACENO,Municipio,4.798203543,-73.133970184
15,BOYACÁ,15673,SAN MATEO,Municipio,6.395388812,-72.551848623
15,BOYACÁ,15676,SAN MIGUEL DE SEMA,Municipio,5.532326922,-73.747158978
15,BOYACÁ,15681,SAN PABLO DE BORBUR,Municipio,5.677345066,-74.114037486
15,BOYACÁ,15686,SANTANA,Municipio,6.057614971,-73.489748282
15,BOYACÁ,15690,SANTA MARÍA,Municipio,4.823002556,-73.253775062
15,BOYACÁ,15693,SANTA ROSA DE VITERBO,Municipio,5.892950301,-72.991727804
